"Refs","Value","Footprint","Qty","DNP"
"C1,C5,C7,C16,C26","10nF","","5",""
"C2","2.2uF","","1",""
"C3","1nF","","1",""
"C4,C11,C12,C15,C17,C25","10uF","","6",""
"C6,C8,C13,C14","100nF","","4",""
"C9,C19","100uF","","2",""
"C10,C20","220uF","","2",""
"C18,C21","47nF","","2",""
"C22,C23,C24,C27","1uF","","4",""
"D1","LED blue","","1",""
"D2","LED amber","","1",""
"J1","HI Input","","1",""
"J2","Speaker 8Î©","","1",""
"J3","Headphones","","1",""
"J6","FX Send","","1",""
"J7","FX Return","","1",""
"Q1","S8050","","1",""
"R1,R6,R9,R12,R14,R23","1M","","6",""
"R3,R4,R13,R15,R16,R20,R21,R22,R24,R25","10K","","10",""
"R5","47K","","1",""
"R7,R10","100","","2",""
"R8,R11","220K","","2",""
"R17","4K7","","1",""
"R18,R19","10","","2",""
"RV1","500K log","","1",""
"RV2","50K log","","1",""
"RV3","100K","","1",""
"RV4,RV5","10k","","2",""
"SW1","PWR","","1",""
"SW2","FX Enable/Bypass","","1",""
"U1","TL074","","1",""
"U2,U4","LM386","","2",""
"U3","~","","1",""
"U5","TL072","","1",""
"V1","12AX7","Valve:Valve_Noval_P","1",""
